Designator,Mid X,Mid Y,Layer,Rotation
C5,143.076,-122.32,top,180
C6,153.783,-116.586,top,0
C7,150.001,-116.56,top,180
C8,144.018,-104.14,top,270
C9,142.831,-116.73,top,180
C10,149.296,-94.725,top,270
C11,159.081,-95.63,top,180
C12,165.1,-104.789,top,90
C13,146.846,-95.055,top,90
C24,154.906,-61.64,top,90
C25,160.656,-61.805,top,90
C26,167.026,-61.775,top,90
C27,172.996,-61.79,top,90
Q1,142.986,-134.7,top,270
Q2,142.886,-128.258,top,270
R1,142.831,-115.14,top,0
R2,151.638,-124.206,top,180
R3,148.446,-67.43,top,0
R4,142.996,-132.14,top,180
R5,143.001,-125.7,top,180
R6,140.356,-134.745,top,270
R7,142.486,-104.135,top,270
R8,140.306,-128.31,top,270
R9,140.966,-104.136,top,270
R10,139.442,-104.136,top,270
R11,137.918,-104.136,top,270
R13,128.016,-103.124,top,270
R14,127.762,-125.984,top,0
R15,160.296999,-121.212999,top,180
R16,160.316,-122.76,top,0
R17,160.326,-119.11,top,180
R18,160.326,-117.45,top,0
R19,163.948999,-117.504999,top,180
R20,163.951,-119.1,top,0
R21,167.516,-117.51,top,180
R22,167.517001,-119.085001,top,0
R23,138.811,-99.27,top,0
R24,142.316,-99.27,top,0
R25,138.821,-101.23,top,0
R26,142.341,-101.23,top,0
U1,154.178,-105.41,top,0
