Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-119.925000,-69.925000,-0.000000,bottom
"C3","10u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-123.300000,-60.675000,180.000000,bottom
"C4","1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-119.825000,-57.325000,180.000000,bottom
"C5","CP1_Small","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-144.775000,-59.150000,90.000000,bottom
"C6","1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-119.775000,-60.675000,-0.000000,bottom
"C7","1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-119.725000,-65.700000,-0.000000,bottom
"C8","1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-119.725000,-64.050000,180.000000,bottom
"C9","220p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-116.475000,-73.700000,-0.000000,bottom
"C10","220p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-116.525000,-68.625000,180.000000,bottom
"C13","1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-119.800000,-59.000000,-0.000000,bottom
"C16","CP1_Small","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-144.825000,-64.125000,90.000000,bottom
"R1","1M","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-119.750000,-62.375000,-0.000000,bottom
"R2","10k","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-123.225000,-64.050000,-0.000000,bottom
"R3","10k","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-123.325000,-59.000000,-0.000000,bottom
"R4","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-111.500000,-75.050000,180.000000,bottom
"R5","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-123.275000,-62.375000,-0.000000,bottom
"R6","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-123.325000,-57.325000,-0.000000,bottom
"R14","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-132.675000,-59.675000,90.000000,bottom
"R17","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-127.750000,-64.175000,270.000000,bottom
"R18","1M","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-130.925000,-67.125000,0.000000,bottom
"R19","100","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-132.850000,-64.275000,270.000000,bottom
"R20","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-118.925000,-75.350000,90.000000,bottom
"R23","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",-123.325000,-65.775000,-0.000000,bottom
