Designator,Mid X,Mid Y,Layer,Rotation
C1,183.82,-57.79,top,90
C2,200.819999,-70.3,top,90
C3,199.82,-70.3,top,90
C4,197.29,-69.18,top,0
C5,198.83,-70.3,top,90
C6,197.3,-68.19,top,0
C7,197.3,-67.21,top,0
C8,205.0796,-62.7888,top,180
C9,194.6376,-70.3326,top,180
C10,194.7164,-73.0276,top,90
C11,197.82,-65.48,top,-90
C12,188.132401,-66.951599,top,-90
C13,189.123001,-66.956799,top,-90
C14,200.451399,-62.2578,top,-90
C15,199.39,-54.09,top,90
C16,185.8718,-62.867399,top,90
C17,194.818,-66.4718,top,180
C18,188.44,-52.960399,top,90
C19,187.452,-52.957799,top,90
C20,195.8032,-67.923599,top,-90
C21,190.119702,-68.729599,top,-90
C22,191.135701,-68.729598,top,-90
C23,192.74,-70.33,top,180
J1,200.66,-73.0758,top,90
J2,207.01,-65.278,top,0
J3,179.8574,-73.152,top,90
J4,207.01,-69.088,top,0
J5,207.01,-72.898,top,0
L1,197.0024,-73.9902,top,180
R2,205.919799,-52.9844,top,0
R3,205.077601,-61.7728,top,180
R4,189.8142,-73.103199,top,-90
R5,185.928,-68.2244,top,180
R6,185.8538,-60.961399,top,-90
R7,186.3364,-64.339599,top,0
R9,198.83,-65.499999,top,90
SW2,180.086,-58.288601,top,-90
U1,197.0157,-71.3849,top,-90
U2,203.4938,-57.3963,top,-90
U3,192.5,-72.8975,top,-90
U4,193.1524,-59.2434,top,90
U5,193.5598,-68.418599,top,180
U6,190.627701,-66.903399,top,0
