Comment,Designator,Footprint
4.7uF,"C1,C2,C3,C5,C7",Capacitor_SMD:C_0402_1005Metric
1uF,C4,Capacitor_SMD:C_0402_1005Metric
10uF,C6,Capacitor_SMD:C_0402_1005Metric
0.1u,"C8,C11,C12,C13,C14,C15,C16",Capacitor_SMD:C_0402_1005Metric
1u,"C9,C10,C19",Capacitor_SMD:C_0402_1005Metric
4.7u,C17,Capacitor_SMD:C_0402_1005Metric
0.01u,C18,Capacitor_SMD:C_0402_1005Metric
6p,"C20,C23",Capacitor_SMD:C_0402_1005Metric
8p,"C21,C22",Capacitor_SMD:C_0402_1005Metric
MountingHole,"H1,H2",MountingHole:MountingHole_2mm
Conn_01x02_Socket,J1,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical
Conn_01x01_Male,"J2,J4,J5",Connector_Pin:Pin_D1.3mm_L11.0mm
Conn_01x08_Male,J3,Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical
LQM21PN1R0MC0,L1,Inductor_SMD:L_0805_2012Metric
10k,"R2,R3,R4,R5,R6,R9",Resistor_SMD:R_0402_1005Metric
100k,R7,Resistor_SMD:R_0402_1005Metric
EG1206A,SW2,srw_custom:EG1206A_EWI
~,U1,Package_DFN_QFN:DFN-6-1EP_2x2mm_P0.65mm_EP1x1.6mm
SN74HCT245PW,U2,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm
LP5907MFX-3.3,U3,Package_TO_SOT_SMD:SOT-23-5
STM32L431RCTx,U4,Package_QFP:LQFP-64_10x10mm_P0.5mm
ECS-480-8-36-RWN-TR,U5,srw_custom:XTAL_ECS-480-8-36-RWN-TR
ECS-.327-9-1210-TR,U6,srw_custom:XTAL_ECS-.327-9-1210-TR
