Designator,Mid X,Mid Y,Layer,Rotation
C1,181.26,-31.58,top,90
C2,175.59,-29.03,top,90
C3,173.74,-28.84,top,90
C4,171.585,-32.47,top,180
C5,161.78,-33.52,top,0
C6,161.77,-35.83,top,180
C7,180.43,-33.99,top,0
C8,180.44,-35.14,top,0
C9,178.44,-34.02,top,180
C10,174.025,-45.96,top,0
Q1,154.97,-28.28,top,180
Q2,158.73,-28.31,top,180
R1,168.05,-33.16,top,0
R2,168.51,-34.66,top,270
R3,167.47,-34.65,top,90
R4,161.77,-34.76,top,0
R5,165.595,-40.8,top,180
R6,166.36,-34.67,top,270
R7,165.29,-34.66,top,90
R8,152.21,-27.01,top,0
R9,175.73,-32.89,top,270
R10,174.66,-32.88,top,90
R11,180.43,-36.73,top,180
R12,180.45,-37.9,top,0
R13,180.46,-40.12,top,180
R14,165.6,-39.72,top,180
R15,180.445,-39.05,top,180
R16,161.76,-32.45,top,0
R17,165.63,-37.57,top,0
R18,165.63,-36.42,top,180
R19,165.6,-38.6,top,0
R20,161.24,-38.8,top,90
R21,162.06,-42.79,top,0
R22,162.07,-43.83,top,0
R23,162.29,-38.81,top,90
U1,155.77,-34.49,top,180
U2,173.13,-39.35,top,270
U3,165.75,-47.26,top,0
U4,174.47,-49.42,top,0
U5,165.77,-50.95,top,0
U10,155.8,-42.82,top,180
Y1,178.35,-32.07,top,180
