Designator,Mid X,Mid Y,Layer,Rotation
C1,130.265,-90.24,top,0
C2,132.11,-92.01,top,0
C3,129.63,-100.2,top,0
C4,128.99,-93.16,top,90
C5,175.2475,-128.96,top,180
C6,129.69,-95.67,top,180
C7,178.3875,-128.96,top,0
C8,132.34,-93.785,top,90
C9,132.4,-103.6,top,0
C10,166.645,-123.43,top,180
C11,136.315,-91.42,top,0
C12,131.2,-101.51,top,180
C13,136.34,-106.05,top,180
C14,142.89,-106.04,top,180
C15,146.92,-95.55,top,270
C16,125.4425,-109.25,top,0
C17,148.04,-95.6,top,270
C18,149.15,-95.615,top,270
C19,126.52,-102.61,top,90
C20,124.8,-102.61,top,90
C21,165.6875,-81.62,top,0
C22,162.54,-86.04,top,180
J9,179.14,-122.4,top,270
J10,136.273,-115.973,top,270
J15,173.99,-73.549,top,270
J16,166.48,-121.01,top,180
J17,179.17,-87.62,top,270
J18,177.92,-74.54,top,90
J22,183.14,-78.33,top,90
J23,189.51,-75.84,top,180
J25,126.68,-85.01,top,270
J26,133.07,-85.09,top,270
Q1,187.63,-82.81,top,90
Q2,182.94,-82.82,top,90
Q3,177.98,-83.25,top,0
Q4,178,-78.23,top,0
R1,142.22,-125.57,top,0
R2,137.25,-82.285,top,90
R3,162.91,-105.99,top,180
R4,175.205,-84.287,top,0
R5,188.13,-79.995,top,270
R6,179.79,-105.04,top,0
R7,171.215,-105.07,top,0
R8,176.195,-105.08,top,0
R9,185.29,-83.6,top,270
R10,127.25,-90.845,top,270
R11,168.26,-85.88,top,270
R13,169.33,-96.545,top,270
R14,169.37,-94.475,top,90
R16,127.23,-88.705,top,270
R17,144.24,-125.58,top,180
R18,149.085,-86.45,top,180
R19,146.71,-86.46,top,180
R20,137.25,-79.495,top,270
R21,135.935,-85.29,top,0
R22,135.925,-84.16,top,180
R23,139.67,-85.59,top,180
R24,139.63,-86.64,top,0
R25,129.12,-123.29,top,270
R26,162.885,-104.67,top,180
R27,162.94,-107.14,top,0
R28,168.2,-82.025,top,90
R29,169.895,-84.812,top,90
R30,171.415,-84.359,top,0
R31,164.577,-78.941,top,90
R32,166.736,-78.941,top,90
R33,165.593,-78.964,top,90
R34,169.022,-78.941,top,90
R35,167.879,-78.941,top,90
R36,177.29,-80.83,top,0
R37,175.167,-78.736,top,0
R38,180.53,-83.61,top,270
R39,180.58,-77.745,top,270
R40,167.235,-89.35,top,0
R41,172.209,-78.763,top,180
R42,173.75,-105.08,top,180
R43,176.9364,-111.8084,top,270
R44,176.9364,-114.1222,top,90
R45,178.05,-111.81,top,270
R46,178.25,-113.87,top,270
SW1,126.59,-124.19,top,270
U1,163.0806,-97.2259,top,0
U2,172.3898,-115.2906,top,180
U3,139.59,-98.75,top,0
U4,125.71,-106.38,top,90
U5,165.93,-84.65,top,90
U6,140.086907,-112.776117,top,0
U7,139.855106,-73.065459,top,0
U8,171.58,-103.03,top,90
Y1,130.8075,-93.67,top,180
Y2,129.73,-97.919999,top,0
