Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",130.265000,-90.240000,0.000000,top
"C2","6p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",132.110000,-92.010000,0.000000,top
"C3","6p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.630000,-100.200000,0.000000,top
"C4","6p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",128.990000,-93.160000,90.000000,top
"C5","1u","C_0603_1608Metric",175.247500,-128.960000,180.000000,top
"C6","6p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",129.690000,-95.670000,180.000000,top
"C7","10u","C_0603_1608Metric",178.387500,-128.960000,0.000000,top
"C8","0.1u","C_0402_1005Metric",132.340000,-93.785000,90.000000,top
"C9","0.1u","C_0402_1005Metric",132.400000,-103.600000,0.000000,top
"C10","0.1u","C_0402_1005Metric",166.645000,-123.430000,180.000000,top
"C11","0.1u","C_0402_1005Metric",136.315000,-91.420000,0.000000,top
"C12","0.1u","C_0402_1005Metric",131.200000,-101.510000,180.000000,top
"C13","0.1u","C_0402_1005Metric",136.340000,-106.050000,180.000000,top
"C14","0.1u","C_0402_1005Metric",142.890000,-106.040000,180.000000,top
"C15","0.1u","C_0402_1005Metric",146.920000,-95.550000,270.000000,top
"C16","1u","C_0603_1608Metric",125.442500,-109.250000,0.000000,top
"C17","0.01u","C_0402_1005Metric",148.040000,-95.600000,270.000000,top
"C18","1u","C_0402_1005Metric",149.150000,-95.615000,270.000000,top
"C19","1u","C_0603_1608Metric",126.520000,-102.610000,90.000000,top
"C20","1u","C_0603_1608Metric",124.800000,-102.610000,90.000000,top
"C21","1u","C_0603_1608Metric",165.687500,-81.620000,0.000000,top
"C22","0.1u","C_0603_1608Metric",162.540000,-86.040000,180.000000,top
"J9","Conn_01x08_Male","PinHeader_2x04_P2.54mm_Vertical",179.140000,-122.400000,270.000000,top
"J10","Barrel_Jack_Switch","BarrelJack_Wuerth_6941xx301002",136.273000,-115.973000,270.000000,top
"J15","Conn_01x08_Male","PinHeader_2x04_P2.54mm_Vertical",173.990000,-73.549000,270.000000,top
"J16","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",166.480000,-121.010000,180.000000,top
"J17","Conn_01x08_Male","PinHeader_2x04_P2.54mm_Vertical",179.170000,-87.620000,270.000000,top
"J18","Conn_01x04_Male","PinHeader_1x04_P2.54mm_Vertical",177.920000,-74.540000,90.000000,top
"J22","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",183.140000,-78.330000,90.000000,top
"J23","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",189.510000,-75.840000,180.000000,top
"J25","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",126.680000,-85.010000,270.000000,top
"J26","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",133.070000,-85.090000,270.000000,top
"Q1","BSS138","SOT-23",187.630000,-82.810000,90.000000,top
"Q2","BSS138","SOT-23",182.940000,-82.820000,90.000000,top
"Q3","BSS138","SOT-23",177.980000,-83.250000,0.000000,top
"Q4","BSS138","SOT-23",178.000000,-78.230000,0.000000,top
"R1","DNI","R_0402_1005Metric",142.220000,-125.570000,0.000000,top
"R2","DNI","R_0402_1005Metric",137.250000,-82.285000,90.000000,top
"R3","10k","R_0402_1005Metric",162.910000,-105.990000,180.000000,top
"R4","10k","R_0402_1005Metric",175.205000,-84.287000,0.000000,top
"R5","10k","R_0402_1005Metric",188.130000,-79.995000,270.000000,top
"R6","DNI","R_0402_1005Metric",179.790000,-105.040000,0.000000,top
"R7","1k","R_0402_1005Metric",171.215000,-105.070000,0.000000,top
"R8","1k","R_0402_1005Metric",176.195000,-105.080000,0.000000,top
"R9","10k","R_0402_1005Metric",185.290000,-83.600000,270.000000,top
"R10","10k","R_0402_1005Metric",127.250000,-90.845000,270.000000,top
"R11","100k","R_0402_1005Metric",168.260000,-85.880000,270.000000,top
"R13","1k","R_0402_1005Metric",169.330000,-96.545000,270.000000,top
"R14","1k","R_0402_1005Metric",169.370000,-94.475000,90.000000,top
"R16","10k","R_0402_1005Metric",127.230000,-88.705000,270.000000,top
"R17","10k","R_0402_1005Metric",144.240000,-125.580000,180.000000,top
"R18","10k","R_0402_1005Metric",149.085000,-86.450000,180.000000,top
"R19","10k","R_0402_1005Metric",146.710000,-86.460000,180.000000,top
"R20","10k","R_0402_1005Metric",137.250000,-79.495000,270.000000,top
"R21","R","R_0402_1005Metric",135.935000,-85.290000,0.000000,top
"R22","10k","R_0402_1005Metric",135.925000,-84.160000,180.000000,top
"R23","0","R_0402_1005Metric",139.670000,-85.590000,180.000000,top
"R24","0","R_0402_1005Metric",139.630000,-86.640000,0.000000,top
"R25","10k","R_0402_1005Metric",129.120000,-123.290000,270.000000,top
"R26","10k","R_0402_1005Metric",162.885000,-104.670000,180.000000,top
"R27","10k","R_0402_1005Metric",162.940000,-107.140000,0.000000,top
"R28","100k","R_0402_1005Metric",168.200000,-82.025000,90.000000,top
"R29","10k","R_0402_1005Metric",169.895000,-84.812000,90.000000,top
"R30","10k","R_0402_1005Metric",171.415000,-84.359000,0.000000,top
"R31","10k","R_0402_1005Metric",164.577000,-78.941000,90.000000,top
"R32","10k","R_0402_1005Metric",166.736000,-78.941000,90.000000,top
"R33","10k","R_0402_1005Metric",165.593000,-78.964000,90.000000,top
"R34","10k","R_0402_1005Metric",169.022000,-78.941000,90.000000,top
"R35","10k","R_0402_1005Metric",167.879000,-78.941000,90.000000,top
"R36","10k","R_0402_1005Metric",177.290000,-80.830000,0.000000,top
"R37","10k","R_0402_1005Metric",175.167000,-78.736000,0.000000,top
"R38","1k","R_0402_1005Metric",180.530000,-83.610000,270.000000,top
"R39","1k","R_0402_1005Metric",180.580000,-77.745000,270.000000,top
"R40","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.235000,-89.350000,0.000000,top
"R41","0","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",172.209000,-78.763000,180.000000,top
"R42","DNI","R_0402_1005Metric",173.750000,-105.080000,180.000000,top
"R43","10k","R_0402_1005Metric",176.936400,-111.808400,270.000000,top
"R44","DNI","R_0402_1005Metric",176.936400,-114.122200,90.000000,top
"R45","10k","R_0402_1005Metric",178.050000,-111.810000,270.000000,top
"R46","DNI","R_0402_1005Metric",178.250000,-113.870000,270.000000,top
"SW1","SW_DIP_x01","PinHeader_1x02_P2.54mm_Vertical",126.590000,-124.190000,270.000000,top
"U1","adafruit_audio_fx_sound_board","adafruit_soundboard",163.080600,-97.225900,0.000000,top
"U2","SN74HCT245PW","TSSOP-20_4.4x6.5mm_P0.65mm",172.389800,-115.290600,180.000000,top
"U3","STM32L431RCTx","LQFP-64_10x10mm_P0.5mm",139.590000,-98.750000,0.000000,top
"U4","LP5907MFX-3.3","SOT-23-5",125.710000,-106.380000,90.000000,top
"U5","RT9742CGJ5","TSOT-23-5",165.930000,-84.650000,90.000000,top
"U6","receiver_433MHz","PinHeader_1x05_P2.54mm_Vertical",140.086907,-112.776117,0.000000,top
"U7","receiver_433MHz","PinHeader_1x05_P2.54mm_Vertical",139.855106,-73.065459,0.000000,top
"U8","PS2501-2","DIP-8_W7.62mm_LongPads",171.580000,-103.030000,90.000000,top
"Y1","ECS-.327-9-1210-TR","XTAL_ECS-.327-9-1210-TR",130.807500,-93.670000,180.000000,top
