Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",218.934999,-81.790000,180.000000,top
"C2","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",201.972500,-82.420000,180.000000,top
"C3","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",208.670000,-82.380000,0.000000,top
"C4","0.1u","C_0402_1005Metric",234.290000,-123.570000,0.000000,top
"C5","0.1u","C_0603_1608Metric",188.910000,-72.660000,90.000000,top
"C6","0.1u","C_0603_1608Metric",187.350000,-72.640000,90.000000,top
"C7","1u","C_0603_1608Metric",190.430000,-72.660000,90.000000,top
"C8","0.1u","C_0603_1608Metric",189.270000,-82.070000,-90.000000,top
"C9","1u","C_0603_1608Metric",191.970000,-72.660000,90.000000,top
"C10","0.1u","C_0402_1005Metric",213.390000,-126.760000,0.000000,top
"C11","0.1u","C_0603_1608Metric",192.340000,-82.050000,-90.000000,top
"C12","1u","C_0603_1608Metric",190.810000,-82.060000,-90.000000,top
"C14","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",226.940000,-100.250000,180.000000,top
"C15","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",226.917500,-97.060000,180.000000,top
"C16","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",226.920000,-98.650000,180.000000,top
"C17","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",235.220000,-116.650000,0.000000,top
"C18","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",235.220000,-115.050000,0.000000,top
"C19","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",235.240000,-113.480000,0.000000,top
"C20","1u","C_0603_1608Metric",191.985000,-124.260000,0.000000,top
"C21","10u","C_0603_1608Metric",192.035000,-125.960000,0.000000,top
"C22","1u","C_0603_1608Metric",222.340000,-107.797500,-90.000000,top
"C23","1u","C_0603_1608Metric",240.720000,-130.840000,180.000000,top
"C24","10u","C_0603_1608Metric",240.715000,-132.440000,180.000000,top
"C25","1u","C_0603_1608Metric",217.930000,-107.810000,-90.000000,top
"D1","1N914","D_DO-35_SOD27_P7.62mm_Horizontal",191.450000,-84.690000,-90.000000,top
"D2","1N914","D_DO-35_SOD27_P7.62mm_Horizontal",191.510000,-106.430000,-90.000000,top
"F1","Fuse-2410FA","2410FA",229.370000,-105.990000,0.000000,top
"J1","Barrel_Jack_Switch","BarrelJack_Wuerth_6941xx301002",230.100000,-102.580000,90.000000,top
"J3","Conn_01x04_Male","1984633",185.400000,-127.250000,0.000000,top
"J10","Conn_01x16_Male","PinHeader_2x08_P2.54mm_Vertical",216.155000,-130.445000,90.000000,top
"J13","Conn_01x03_Male","1984620",237.000000,-122.685000,90.000000,top
"J14","Conn_01x03_Male","PinHeader_1x03_P2.54mm_Vertical",224.960000,-104.370000,0.000000,top
"J20","Conn_01x40_Male","PinHeader_2x20_P2.54mm_Vertical",186.150000,-78.680000,90.000000,top
"J22","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",209.960000,-72.460000,-90.000000,top
"J25","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",220.435000,-98.170000,90.000000,top
