Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",160.790000,-111.020000,-90.000000,top
"C2","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",152.690000,-115.060000,-90.000000,top
"C3","6p","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",178.090000,-106.592500,-90.000000,top
"C4","8p","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",176.110000,-112.580000,0.000000,top
"C5","8p","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",176.880000,-110.820000,-90.000000,top
"C6","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",157.897500,-118.330000,180.000000,top
"C7","0.1u","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",173.240000,-102.112500,90.000000,top
"C8","0.1u","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",172.490000,-102.102500,90.000000,top
"C9","6p","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",176.742500,-109.510000,0.000000,top
"C10","0.1u","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",174.248750,-112.980000,0.000000,top
"C11","0.1u","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",173.027500,-114.000000,0.000000,top
"C12","0.1u","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",169.222500,-100.910000,0.000000,top
"C13","0.1u","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",164.640000,-101.150000,0.000000,top
"C14","4.7u","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",174.890000,-113.990000,0.000000,top
"C15","0.01u","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",161.470000,-113.462500,-90.000000,top
"C16","1u","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",162.240000,-113.462500,-90.000000,top
"C17","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",161.578100,-114.884200,0.000000,top
"C18","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",158.417500,-119.350000,180.000000,top
"C19","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",177.280000,-114.097500,90.000000,top
"C20","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",169.220000,-117.900000,90.000000,top
"C21","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",175.007500,-118.990000,0.000000,top
"C22","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",176.290000,-114.087500,90.000000,top
"C23","10u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",144.567500,-113.240000,180.000000,top
"F1","Fuse-2410FA","2410FA",150.490000,-120.070000,180.000000,top
"J1","Barrel_Jack_Switch","BarrelJack_Wuerth_6941xx301002",153.750000,-123.270000,-90.000000,top
"J2","Conn_01x03_Male","1984620",155.500000,-121.680000,0.000000,top
"R1","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",171.052500,-100.900000,180.000000,top
"R2","1k","R_0402_1005Metric",148.680000,-101.110000,180.000000,top
"R3","10k","R_0402_1005Metric",148.610000,-113.240000,0.000000,top
"R4","1k","R_0402_1005Metric",146.640000,-113.250000,0.000000,top
"R5","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",163.110000,-114.500000,90.000000,top
"R6","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",166.457500,-101.020000,0.000000,top
"R7","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",177.190400,-123.724500,-90.000000,top
"R8","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",177.190400,-125.629100,90.000000,top
"R9","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",174.330000,-117.600000,90.000000,top
"R10","10k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",162.780000,-100.890000,0.000000,top
"R11","28k","R_0201_0603Metric_Pad0.64x0.40mm_HandSolder",162.780000,-101.660000,180.000000,top
"U1","TXS0104EDR","SOIC-14_3.9x8.7mm_P1.27mm",157.200000,-105.460000,180.000000,top
"U2","PS2501L-1","PS2501L-1",151.190000,-101.810000,-90.000000,top
"U3","receiver_433MHz","433MHz_receiver",149.680000,-113.860001,90.000000,top
"U4","ECS-.327-9-1210-TR","XTAL_ECS-.327-9-1210-TR",175.580000,-111.190000,90.000000,top
"U5","ECS-480-8-36-RWN-TR","XTAL_ECS-480-8-36-RWN-TR",176.260000,-107.372500,-90.000000,top
"U6","SN74HCT245PW","TSSOP-20_4.4x6.5mm_P0.65mm",156.860000,-113.980000,-90.000000,top
"U7","STM32L431RCTx","LQFP-64_10x10mm_P0.5mm",167.920000,-108.300000,180.000000,top
"U8","LP5907MFX-3.3","SOT-23-5",166.350000,-117.330000,0.000000,top
"U9","USB-C-31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12",171.450000,-124.775000,0.000000,top
"U10","XR21B1411","XR21B1411",173.302500,-118.215000,180.000000,top
"U11","NCP361","NCP361",175.450000,-115.795000,0.000000,top
