Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",34.400000,-73.972500,90.000000,top
"C2","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",55.570000,-81.117500,-90.000000,top
"C3","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",54.590000,-81.127500,-90.000000,top
"C4","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",53.610000,-81.135000,-90.000000,top
"C5","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",54.940000,-74.302500,90.000000,top
"C6","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",53.920000,-74.300000,90.000000,top
"C7","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",55.940000,-74.297500,90.000000,top
"C8","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",34.340000,-80.082500,-90.000000,top
"J1","Conn_01x20_Male","PinHeader_2x10_P2.54mm_Vertical",39.750000,-65.620000,0.000000,top
"J2","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",28.480000,-85.540000,90.000000,top
"J3","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",28.960000,-67.610000,90.000000,top
"J5","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",26.570000,-94.110000,180.000000,top
"J6","Conn_01x02_Male","PinHeader_1x02_P2.54mm_Vertical",26.650000,-62.200000,180.000000,top
"P1","USB_C_Plug","USB_C_Plug_JAE_DX07P024AJ1",58.897500,-77.395000,90.000000,top
"Q2","BSS138","SOT-23",30.362500,-93.210000,180.000000,top
"Q3","BSS138","SOT-23",30.452500,-61.310000,180.000000,top
"R1","0","R_0402_1005Metric",37.180000,-89.100000,-90.000000,top
"R2","1M","R_0402_1005Metric",29.490000,-59.050000,0.000000,top
"R3","1M","R_0402_1005Metric",29.390000,-90.960000,0.000000,top
"R5","1k","R_0402_1005Metric",29.370000,-95.440000,0.000000,top
"R7","1k","R_0402_1005Metric",29.460000,-63.530000,0.000000,top
"U1","USB-C-31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12",28.490000,-76.950000,-90.000000,top
