Designator,Mid X,Mid Y,Layer,Rotation
C1,121.1,-101.3375,top,90
C2,114.1625,-100.98,top,180
C3,120.0625,-92.2,top,180
C4,120.0625,-87.4,top,180
C5,139.6,-84.0625,top,-90
C6,147.198717,-98.798717,top,-45
C7,146.498717,-99.598717,top,-45
C8,145.798717,-100.398717,top,-45
C9,147.098717,-90.901283,top,45
C10,145.701283,-89.498717,top,45
C11,146.398717,-90.201283,top,45
C12,129.3075,-104.14,top,180
C14,134.75,-103.175,top,0
J1,123.8,-83.2,top,0
J2,134.81,-91.59,top,0
LED1,136.4,-109.3,top,180
LED2,114.2875,-84.7,top,90
LED3,136.425,-80.2,top,180
LED4,113.5,-104.5,top,-90
P1,151.028879,-94.713621,top,90
Q1,110.9,-106.1,top,90
Q2,111.3,-83.3625,top,-90
R1,125.325,-108.9,top,180
R2,131.52,-84.51,top,90
R3,143.1,-87.475,top,90
R4,114.185194,-102.58,top,180
R5,138.8875,-88.3,top,0
R6,138.8,-86.7,top,0
R7,132.4125,-82,top,0
R8,129.3875,-106.9625,top,-90
R9,134.9,-85.9,top,0
R10,113.5,-108.2125,top,-90
R11,111.3,-80.5,top,0
R12,110.9125,-109.037501,top,180
R13,141.5,-87.5125,top,-90
R14,132.4875,-109.4,top,180
R16,132.4875,-80.2,top,180
R17,114.9875,-81.6,top,0
U1,116.7,-102.595,top,0
U2,113,-94.6,top,-90
U3,118.974999,-88.448902,top,0
U4,132.5,-105.8,top,0
U5,136.5176,-83.350001,top,0
