Designator,Mid X,Mid Y,Layer,Rotation
C1,117.7,-105.9375,top,-90
C2,110.4,-106.2,top,180
C3,117.7,-96.3375,top,90
C4,117.7,-102.5375,top,-90
C5,132.6,-85.8375,top,90
C6,147.198717,-98.798717,top,-45
C7,146.498717,-99.598717,top,-45
C8,145.798717,-100.398717,top,-45
C9,147.098717,-90.901283,top,45
C10,145.701283,-89.498717,top,45
C11,146.398717,-90.201283,top,45
C12,128.1,-80.8,top,-90
C14,133.4,-81,top,-90
J1,120.7946,-83.4772,top,0
J2,128.3652,-90.9554,top,0
J3,113.5875,-88.95,top,-90
LED1,136.5,-84.9,top,0
LED2,136.4,-104.7,top,0
LED3,136.5,-88,top,0
LED4,136.4,-102,top,0
P1,151.028879,-94.713621,top,90
Q1,128.7375,-102.15,top,0
Q2,128.737501,-105.649999,top,0
R1,132.5,-103.1,top,180
R2,132.425,-104.7,top,180
R3,135.675,-80.6,top,180
R4,110.3875,-107.8,top,180
R5,134.3875,-89.9,top,0
R6,133.5125,-88.3,top,0
R7,127.4,-84.5,top,0
R8,126.95,-82.65,top,0
R9,126.6,-87.3125,top,-90
R10,132.3875,-101.2,top,180
R11,126,-105.6125,top,90
R12,126,-102.0125,top,90
R13,134.4,-85.7875,top,-90
R14,140.6125,-84.9,top,0
R16,140.7125,-87.9,top,0
R17,134.4125,-99.6,top,180
U1,112.889358,-107.889358,top,45
U2,111.55,-100.12,top,-90
U3,118.649994,-100.770002,top,180
U4,130.8,-81.6,top,0
U5,129.6176,-87.149999,top,0
