Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",117.700000,-105.937500,-90.000000,top
"C2","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",110.400000,-106.200000,180.000000,top
"C3","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",117.700000,-96.337500,90.000000,top
"C4","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",117.700000,-102.537500,-90.000000,top
"C5","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",132.600000,-85.837500,90.000000,top
"C6","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",147.198717,-98.798717,-45.000000,top
"C7","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",146.498717,-99.598717,-45.000000,top
"C8","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",145.798717,-100.398717,-45.000000,top
"C9","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",147.098717,-90.901283,45.000000,top
"C10","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",145.701283,-89.498717,45.000000,top
"C11","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",146.398717,-90.201283,45.000000,top
"C13","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",133.410000,-81.150000,-90.000000,top
"C14","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",134.420000,-87.340000,90.000000,top
"C16","1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",137.830000,-88.210000,0.000000,top
"J1","Conn_01x08_Male","PinHeader_2x04_P2.54mm_Vertical",128.140000,-90.920000,0.000000,top
"J2","Conn_01x20_Male","PinHeader_2x10_P2.54mm_Vertical",120.794600,-82.974600,0.000000,top
"J3","690-005-299-043","EDAC_690-005-299-043",113.587500,-88.950000,-90.000000,top
"LED1","XL-2012SURC","XL-2012",139.260000,-82.850000,135.000000,top
"LED2","XL-2012UGC","XL-2012",136.400000,-104.700000,0.000000,top
"LED3","XL-2012UBC","XL-2012",140.469670,-84.059670,-45.000000,top
"LED4","XL-2012UPC","XL-2012",136.400000,-102.000000,0.000000,top
"P1","USB_C_Plug","USB_C_Plug_JAE_DX07P024AJ1",151.028879,-94.713621,90.000000,top
"Q1","2N7002","SOT-23",128.737500,-102.150000,0.000000,top
"Q2","2N7002","SOT-23",128.737501,-105.649999,0.000000,top
"R1","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",132.500000,-103.100000,180.000000,top
"R2","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",132.425000,-104.700000,180.000000,top
"R3","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",135.675000,-80.600000,180.000000,top
"R4","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",110.387500,-107.800000,180.000000,top
"R5","DNI","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",131.530000,-88.290000,0.000000,top
"R8","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",126.950000,-82.650000,0.000000,top
"R10","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",132.387500,-101.200000,180.000000,top
"R11","100k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",126.010000,-105.330000,90.000000,top
"R12","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",137.190000,-100.120000,180.000000,top
"R14","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",135.670000,-82.200000,180.000000,top
"R15","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",139.710000,-100.540000,90.000000,top
"R16","470","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",135.650000,-83.760000,180.000000,top
"R17","0","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",127.122500,-108.120000,0.000000,top
"R18","0","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",130.462500,-108.130000,180.000000,top
"R19","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",132.460000,-106.540000,180.000000,top
"U1","XR21B1411","XR21B1411",112.889358,-107.889358,45.000000,top
"U2","USB-C-31-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12",111.550000,-100.120000,-90.000000,top
"U3","NCP361","NCP361",118.649994,-100.770002,180.000000,top
"U4","TPS22917DBV","SOT-23-6",130.800000,-81.600000,0.000000,top
"U6","AZ1117CH-3.3TRG1","SOT-223_DIO",136.790000,-93.827499,-90.000000,top
