Designator,Value,Footprint,Quantity,Supplier and ref
LED2,XL-2012UGC,XL-2012,1,
U3,NCP361,NCP361,1,
"R17,R18",0,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,2,
"R15,R16,R12,R14",470,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,4,
"C1,C3,C4,C2",1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,4,
U6,AZ1117CH-3.3TRG1,SOT-223_DIO,1,
"C16,C14",1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,2,
"C11,C6,C13,C5,C7,C10,C9,C8",1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,8,
J2,Conn_02x10_Male,PinHeader_2x10_P2.54mm_Vertical,1,
"R4,R19,R8",10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,3,
R5,DNI,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,
U4,TPS22917DBV,SOT-23-6,1,
P1,USB_C_Plug,USB_C_Plug_JAE_DX07P024AJ1,1,
"R2,R3,R1",DNI,R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,3,
U1,XR21B1411,XR21B1411,1,
LED4,XL-2012UPC,XL-2012,1,
"R10,R11",100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,2,
J3,690-005-299-043,EDAC_690-005-299-043,1,
"Q2,Q1",2N7002,SOT-23,2,
U2,USB-C-31-M-12,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,
LED3,XL-2012UBC,XL-2012,1,
J1,Conn_02x04_Male,PinHeader_2x04_P2.54mm_Vertical,1,
LED1,XL-2012SURC,XL-2012,1,
