"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"LED2";"XL-2012";1;"XL-2012UGC";;;
2;"U3";"NCP361";1;"NCP361";;;
3;"R17,R18";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"0";;;
4;"R15,R16,R12,R14";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";4;"470";;;
5;"C1,C3,C4,C2";"C_0603_1608Metric_Pad1.08x0.95mm_HandSolder";4;"1u";;;
6;"U6";"SOT-223_DIO";1;"AZ1117CH-3.3TRG1";;;
7;"C16,C14";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1u";;;
8;"C11,C6,C13,C5,C7,C10,C9,C8";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";8;"1u";;;
9;"J2";"PinHeader_2x10_P2.54mm_Vertical";1;"Conn_01x20_Male";;;
10;"R4,R19,R8";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";3;"10k";;;
11;"R5";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";1;"DNI";;;
12;"U4";"SOT-23-6";1;"TPS22917DBV";;;
13;"P1";"USB_C_Plug_JAE_DX07P024AJ1";1;"USB_C_Plug";;;
14;"R2,R3,R1";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";3;"DNI";;;
15;"U1";"XR21B1411";1;"XR21B1411";;;
16;"LED4";"XL-2012";1;"XL-2012UPC";;;
17;"R10,R11";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"100k";;;
18;"J3";"EDAC_690-005-299-043";1;"690-005-299-043";;;
19;"Q2,Q1";"SOT-23";2;"2N7002";;;
20;"U2";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB-C-31-M-12";;;
21;"LED3";"XL-2012";1;"XL-2012UBC";;;
22;"J1";"PinHeader_2x04_P2.54mm_Vertical";1;"Conn_01x08_Male";;;
23;"LED1";"XL-2012";1;"XL-2012SURC";;;
