Designator,Mid X,Mid Y,Layer,Rotation
C1,95.53,-100.725,top,270
C2,94.14,-93.75,top,90
C3,97.69,-89.535,top,90
C4,99.28,-89.545,top,90
C5,109.45,-109.39,top,270
C6,90.64,-92.84,top,0
C7,110.245,-113.3,top,0
C8,100.88,-89.555,top,90
C9,103.125,-106.4,top,0
C10,109.805,-106.32,top,0
C11,100.01,-107.185,top,270
C12,102.51,-89.56,top,90
C13,116.87,-80.4,top,0
C14,118.35,-87.145,top,270
C15,113.24,-93.4,top,180
C16,113.24,-91.83,top,180
C17,114.34,-86.03,top,270
Q1,90.69,-97.1,top,180
Q2,92.03,-100.8,top,180
R1,107.25,-90.66,top,0
R2,109.73,-91.575,top,270
R3,95.94,-91.59,top,270
R4,113.255,-94.99,top,180
R5,100.99,-86.05,top,0
R6,91.08,-103.81,top,0
R7,91.05,-105.47,top,180
R8,114.28,-81.31,top,270
R9,101.015,-84.37,top,0
R10,115.265,-88.56,top,180
R11,91.06,-107.08,top,0
R12,91.03,-108.65,top,180
R13,101.005,-82.74,top,0
R14,91.04,-111.87,top,0
R15,91.035,-110.26,top,180
R16,91.075,-113.58,top,0
R17,87.61,-113.55,top,180
R18,86.47,-97.18,top,90
R19,88.11,-97.17,top,270
R20,87.68,-100.95,top,90
R21,89.32,-100.94,top,270
U1,104.922352,-111.334631,top,270
U2,104.63,-98.705,top,0
U3,117.05,-83.32,top,90
