Ref,Val,Package,PosX,PosY,Rot,Side
"C1","6p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",95.530000,-100.725000,270.000000,top
"C2","6p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",94.140000,-93.750000,90.000000,top
"C3","8p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",97.690000,-89.535000,90.000000,top
"C4","8p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",99.280000,-89.545000,90.000000,top
"C5","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",109.450000,-109.390000,270.000000,top
"C6","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",95.956120,-90.129360,90.000000,top
"C7","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",110.722380,-114.023140,0.000000,top
"C8","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",100.880000,-89.555000,90.000000,top
"C9","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",103.125000,-106.400000,0.000000,top
"C10","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",109.805000,-106.320000,0.000000,top
"C11","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",100.010000,-107.185000,270.000000,top
"C12","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",102.510000,-89.560000,90.000000,top
"C13","4.7u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",116.870000,-80.400000,0.000000,top
"C14","1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",118.350000,-87.145000,270.000000,top
"C15","0.01u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",112.993000,-91.549000,270.000000,top
"C16","1","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",111.405000,-91.530000,270.000000,top
"C17","1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",114.340000,-86.030000,270.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",89.484200,-83.566000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",93.840300,-113.868200,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",119.621300,-114.147600,0.000000,top
"Q1","BSS138","SOT-23",101.563740,-80.155660,180.000000,top
"Q2","BSS138","SOT-23",101.608340,-85.824160,180.000000,top
"R1","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",107.250000,-90.660000,0.000000,top
"R2","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",109.730000,-91.575000,270.000000,top
"R3","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",95.755460,-93.534260,270.000000,top
"R4","0","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",112.283000,-95.835000,90.000000,top
"R5","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",105.372900,-88.962640,0.000000,top
"R6","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",91.528900,-96.227900,270.000000,top
"R7","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",92.367100,-101.398100,270.000000,top
"R8","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",114.280000,-81.310000,270.000000,top
"R9","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",105.397900,-87.282640,0.000000,top
"R10","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",115.265000,-88.560000,180.000000,top
"R11","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",93.916500,-101.409500,270.000000,top
"R12","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",93.511400,-103.860600,180.000000,top
"R13","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",105.387900,-85.652640,0.000000,top
"R14","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",93.548200,-107.093500,0.000000,top
"R15","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",93.524100,-105.460800,180.000000,top
"R16","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",93.583200,-108.803500,0.000000,top
"R17","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",93.568200,-110.493500,180.000000,top
"R18","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",95.034100,-86.549200,90.000000,top
"R19","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",101.625400,-82.791300,0.000000,top
"R20","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",97.258340,-85.974160,90.000000,top
"R21","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",98.898340,-85.964160,270.000000,top
"R22","0","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",115.704620,-113.446560,180.000000,top
"R23","0","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",115.787140,-111.752380,180.000000,top
"R24","0","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",111.561880,-108.907580,270.000000,top
"R25","0","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",115.716020,-110.131860,180.000000,top
"R26","0","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",113.146840,-109.827060,270.000000,top
"U1","TXS0108EPW","TSSOP-20_4.4x6.5mm_P0.65mm",104.922352,-111.334631,270.000000,top
"U2","STM32L431RCTx","LQFP-64_10x10mm_P0.5mm",104.630000,-98.705000,0.000000,top
"U3","LP5907MFX-3.3","SOT-23-5",117.050000,-83.320000,90.000000,top
"U4","ECS-480-8-36-RWN-TR","XTAL_ECS-480-8-36-RWN-TR",94.830000,-97.240000,90.000000,top
"U6","ECS-.327-9-1210-TR","XTAL_ECS-.327-9-1210-TR",98.430000,-92.170000,0.000000,top
