Designator,Mid X,Mid Y,Layer,Rotation
C1,169.84,-101.665,top,270
C2,168.45,-94.69,top,90
C3,172,-90.475,top,90
C4,173.59,-90.485001,top,90
C6,170.26612,-91.06936,top,90
C7,192.147,-95.699,top,0
C8,175.19,-90.495,top,90
C9,177.435,-107.34,top,0
C10,182.153,-108.268,top,270
C11,174.32,-108.125,top,270
C12,176.82,-90.5,top,90
C13,190.2,-80.625,top,90
C14,192.66,-88.085,top,270
C15,187.303,-92.489,top,270
C16,185.715,-92.47,top,270
C17,188.65,-86.97,top,270
C18,167.653,-114.692,top,0
C19,172.01,-72.54,top,180
C20,167.650001,-113.111,top,0
C21,181.246,-128.598,top,180
Q1,175.87374,-81.09566,top,180
Q2,175.91834,-86.76416,top,180
R1,181.56,-91.6,top,0
R2,184.04,-92.515,top,270
R3,170.06546,-94.47426,top,270
R4,188.541,-95.707,top,180
R5,179.6829,-89.90264,top,0
R6,167.456,-87.486001,top,90
R7,166.677101,-102.3381,top,270
R8,188.59,-82.250001,top,270
R9,179.7079,-88.222639,top,0
R10,189.575001,-89.5,top,180
R11,168.2265,-102.3495,top,270
R12,167.8214,-104.8006,top,180
R13,179.6979,-86.59264,top,0
R14,167.8582,-108.0335,top,0
R15,167.8341,-106.4008,top,180
R16,167.8932,-109.7435,top,0
R17,167.8782,-111.4335,top,180
R18,169.3441,-87.4892,top,90
R19,175.9354,-83.7313,top,0
R20,171.56834,-86.914161,top,90
R21,173.20834,-86.90416,top,270
R22,195.488,-96.476,top,180
R23,195.489,-98.073,top,180
R24,195.493,-102.833,top,180
R25,195.491,-99.651,top,180
R26,195.495,-101.228,top,180
R27,177.7515,-112.319,top,180
R28,177.7629,-110.7188,top,0
R29,137.51,-91.64,top,0
R30,137.01,-96.865,top,270
R31,137.51,-93.24,top,180
R32,190.0832,-121.7805,top,0
R33,138.003,-88.396,top,90
R34,134.81,-92.415,top,270
R35,138.61,-96.84,top,90
R36,193.4868,-121.7678,top,0
R37,196.558,-118.383,top,90
R38,194.555,-118.378,top,90
R39,168.485,-84.74,top,0
R40,137.385,-102.64,top,0
R41,137.735,-83.64,top,0
R42,135.61,-100.94,top,0
R43,175.71,-72.64,top,180
R44,175.81,-78.54,top,180
U1,189.777,-100.082001,top,0
U2,178.94,-99.644999,top,0
U3,191.36,-84.26,top,90
U4,169.14,-98.18,top,90
U6,172.74,-93.11,top,0
U8,170.105,-76.269,top,0
