Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0402_1005Metric",186.140000,-96.630000,90.000000,bottom
"C5","0.1u","C_0402_1005Metric",185.020000,-99.960000,180.000000,bottom
"C6","0.1u","C_0402_1005Metric",185.610000,-104.520000,0.000000,bottom
"C7","4.7u","C_0402_1005Metric",185.610000,-105.490000,0.000000,bottom
"C8","6p","C_0402_1005Metric",184.590000,-95.510000,180.000000,bottom
"C9","0.1u","C_0402_1005Metric",177.530000,-99.520000,90.000000,bottom
"C10","0.1u","C_0402_1005Metric",177.540000,-97.650000,-90.000000,bottom
"C11","6p","C_0402_1005Metric",183.140000,-99.960000,0.000000,bottom
"C12","1u","C_0402_1005Metric",179.050000,-96.560000,0.000000,bottom
"C13","1u","C_0402_1005Metric",180.930000,-96.560000,180.000000,bottom
"J7","690-005-299-043","EDAC_690-005-299-043",180.275001,-104.850001,180.000000,bottom
"U2","ECS-480-8-36-RWN-TR","XTAL_ECS-480-8-36-RWN-TR",184.230000,-97.720003,-90.000000,bottom
"U3","SN74LVC1T45DBV","SOT-23-6",175.290000,-98.372500,90.000000,bottom
"U4","LP5907MFX-3.3","SOT-23-5",180.102500,-98.730000,0.000000,bottom
