Designator,Mid X,Mid Y,Layer,Rotation
C1,186.14,-96.63,bottom,90
C5,185.02,-99.96,bottom,180
C6,185.61,-104.52,bottom,0
C7,185.61,-105.49,bottom,0
C8,184.59,-95.51,bottom,180
C9,177.53,-99.52,bottom,90
C10,177.54,-97.65,bottom,-90
C11,183.14,-99.96,bottom,0
C12,179.05,-96.56,bottom,0
C13,180.93,-96.56,bottom,180
J7,180.275001,-104.850001,bottom,180
U2,184.23,-97.720003,bottom,-90
U3,175.29,-98.3725,bottom,90
U4,180.1025,-98.73,bottom,0
C2,184.43,-96.64,top,-90
C3,174.66,-97.07,top,180
C4,184.91,-108.92,top,0
CR1,173.84,-98.16,top,0
J1,174.67,-94.02,top,0
J2,178.28,-94.09,top,0
J3,181.92,-94.14,top,0
R1,185.99,-107.61,top,0
U1,179.775001,-102.850002,top,180
