Designator,Comment,Footprint,JLCPCB Part #_optional_
"C1,C2,C3,C4,C5,C6,C9,C10",0.1u,Capacitor_SMD:C_0402_1005Metric,C1525
C7,4.7u,Capacitor_SMD:C_0402_1005Metric,C76995
"C8,C11",6p,Capacitor_SMD:C_0402_1005Metric,C318621
"C12,C13",1u,Capacitor_SMD:C_0402_1005Metric,C76999
CR1,PESD5V0C1BSFYL,srw_custom:PESD5V0C1BSFYL_NEX,C477955
"J1,J2,J3",Conn_01x01_Male,Connector_Pin:Pin_D1.3mm_L11.0mm,DNP
J7,690-005-299-043,srw_custom:EDAC_690-005-299-043,
R1,10k,Resistor_SMD:R_0402_1005Metric,C60489
U1,STM32L431RCTx,Package_QFP:LQFP-64_10x10mm_P0.5mm,C92468
U2,ECS-480-8-36-RWN-TR,srw_custom:XTAL_ECS-480-8-36-RWN-TR,C2450270
U3,SN74LVC1T45DBV,Package_TO_SOT_SMD:SOT-23-6,C7843
U4,LP5907MFX-3.3,Package_TO_SOT_SMD:SOT-23-5,C23380874
