Designator,Mid X,Mid Y,Layer,Rotation
C25,206.69,-105.887128,top,120
C26,197.97,-103.4,top,105
C27,190.4,-104.61,top,-105
C28,190.910001,-107.539998,top,90
C29,203.2,-117.475,top,90
C30,186.79,-98.93,top,150
C31,202.87,-102.5,top,-120
C32,198.27,-107.59,top,0
C33,187.14,-107.55,top,90
C34,194.572003,-106.385806,top,110
C35,185.89,-103,top,155
C36,191.55,-98.42,top,90
C37,198.1,-112.48,top,0
C38,239.76,-98.51,top,90
C39,228.85,-101.75,top,90
C40,225.09,-108.95,top,-90
C41,208.883723,-106.156271,top,45
C42,208.885,-101.1,top,180
C43,243.78,-98.85,top,90
C44,231.32,-102.37,top,0
C45,220.95,-106.42,top,-135
C46,217.046274,-108.866274,top,-45
C47,203.29,-107.745,top,90
C48,195.83,-99.12,top,-90
C49,223.9,-101.4,top,135
C50,230.82,-107.31,top,0
C51,219.44,-105,top,0
C52,212.38,-108.83,top,90
C53,247.68,-106.2,top,-135
C54,250.466274,-101.456274,top,135
C55,243.022822,-104.180904,top,75
C56,233.09,-106.61,top,-135
C57,235.263952,-98.643952,top,135
C58,250.96,-109.04,top,-90
C59,244.61,-105.96,top,180
C60,239.16,-102.905,top,90
C61,236.61,-109.09,top,-90
C62,233.04,-102.18,top,180
C63,255.546274,-108.946274,top,-45
C64,244.84,-102.17,top,180
C65,245.21,-98.26,top,180
C66,241.173952,-109.103952,top,-45
C67,255.12,-101.64,top,90
C68,258.306274,-104.493726,top,45
C69,203.1,-122.7,top,90
C70,203.23,-120.035,top,90
D1,193.875,-99.23,top,0
D2,189.605,-99.23,top,0
D3,185.913814,-100.772587,top,60
D4,188.32207,-103.053883,top,160
D5,192.463827,-104.57444,top,165
D6,193.078292,-107.909779,top,20
D7,185.245,-108.3,top,0
D8,197.44,-110.595,top,-90
D9,197.54,-105.694999,top,-90
D10,199.716173,-102.47444,top,-165
D11,204.89,-102.78,top,150
D12,205.492587,-107.583814,top,30
D13,201.385,-108.39,top,0
D14,209.480078,-102.990892,top,90
D15,210.325911,-107.438094,top,135
D16,214.305,-108.43,top,180
D17,217.99,-107.121906,top,-135
D18,218.64,-103.095,top,-90
D19,227.005,-102.23,top,0
D20,222.848094,-103.044089,top,45
D21,222.548094,-107.515911,top,135
D22,227.005,-108.33,top,180
D23,230.64,-105.295,top,-90
D24,230.740001,-100.464999,top,-90
D25,241.88,-99.12,top,0
D26,237.875,-99.23,top,0
D27,234.331906,-100.415911,top,45
D28,233.617813,-104.094998,top,90
D29,234.784089,-107.651906,top,135
D30,238.505,-108.33,top,180
D31,242.245911,-107.431906,top,-135
D32,241.103827,-103.98444,top,-15
D33,237.175,-103.72,top,0
D34,245.54,-100.195,top,90
D35,245.54,-104.065001,top,90
D36,245.54,-107.865,top,90
D37,249.454089,-103.138094,top,45
D38,249.225911,-107.338094,top,135
D39,252.905,-108.38,top,180
D40,256.735911,-107.391906,top,-135
D41,256.741906,-103.294089,top,-45
D42,253.19,-102.343109,top,0
D43,205.155,-117.01,top,180
D44,205.18,-119.57,top,180
D45,205.185,-122.12,top,180
D46,189.025,-108.34,top,0
BT1,231.84,-104.08,bottom,180
C1,251.18,-87.759999,bottom,180
C2,247.88,-86.34,bottom,-90
C3,248.86,-86.34,bottom,-90
C4,246.880001,-86.35,bottom,-90
C5,263.52,-102.26,bottom,-90
C6,261.56,-102.25,bottom,-90
C7,262.54,-102.25,bottom,-90
C8,194.49012,-102.90012,bottom,-45
C9,177.22012,-89.22012,bottom,135
C10,188.920941,-97.393177,bottom,-45
C11,195.353413,-85.271972,bottom,135
C12,190.64988,-81.04988,bottom,135
C13,185.757509,-79.780011,bottom,180
C14,178.89988,-87.20988,bottom,135
C15,179.68988,-91.55988,bottom,-45
C16,187.820941,-98.463177,bottom,-45
C17,186.691061,-99.593294,bottom,-45
C18,182.739882,-80.319878,bottom,135
C19,177.23012,-84.14012,bottom,135
C20,178.28012,-83.07012,bottom,135
C21,179.44,-80.47,bottom,45
C22,242.1425,-86.5875,bottom,-90
C23,236.2225,-86.59,bottom,-90
C24,256.5875,-87.3,bottom,180
D47,205.57,-84.34,bottom,180
J1,196.85,-125.58,bottom,0
L1,253.9,-86.22,bottom,90
R1,252.26,-83.7,bottom,90
R2,190.024765,-99.785235,bottom,45
R3,197.335235,-101.314765,bottom,45
R4,185.224765,-101.844765,bottom,135
R5,180.0775,-99.54,bottom,0
R6,180.0975,-97.99,bottom,0
R7,177.424765,-95.774765,bottom,-45
R8,177.535235,-93.805235,bottom,-45
R9,256.5875,-85.48,bottom,180
R10,259.12,-86.3975,bottom,90
R11,180.794766,-93.955234,bottom,-135
R12,177.634765,-91.714765,bottom,135
R13,186.4275,-109.92,bottom,180
R14,190.9775,-103.5,bottom,180
R15,186.6675,-121.39,bottom,180
R16,186.7375,-116.19,bottom,180
R17,206.58,-86.29,bottom,-90
SW1,227.15,-84.44,bottom,0
U1,251.09,-85.99,bottom,0
U2,194.854703,-97.178078,bottom,-45
U3,187.423022,-88.607235,bottom,-45
U4,180.981421,-82.07934,bottom,-135
U5,179.9,-85.01,bottom,45
U6,239.1925,-86.64,bottom,180
U7,183.5,-123,bottom,180
U8,183.5,-110,bottom,180
U9,183.5,-116.5,bottom,180
U10,183.5,-103.5,bottom,180
