Ref,Val,Package,PosX,PosY,Rot,Side
"C25","0.1uF","C_0201_0603Metric",206.690000,-105.887128,120.000000,top
"C26","0.1uF","C_0201_0603Metric",197.970000,-103.400000,105.000000,top
"C27","0.1uF","C_0201_0603Metric",190.400000,-104.610000,-105.000000,top
"C28","0.1uF","C_0201_0603Metric",190.910001,-107.539998,90.000000,top
"C29","0.1uF","C_0201_0603Metric",203.200000,-117.475000,90.000000,top
"C30","0.1uF","C_0201_0603Metric",186.790000,-98.930000,150.000000,top
"C31","0.1uF","C_0201_0603Metric",202.870000,-102.500000,-120.000000,top
"C32","0.1uF","C_0201_0603Metric",198.270000,-107.590000,0.000000,top
"C33","0.1uF","C_0201_0603Metric",187.140000,-107.550000,90.000000,top
"C34","0.1uF","C_0201_0603Metric",194.572003,-106.385806,110.000000,top
"C35","0.1uF","C_0201_0603Metric",185.890000,-103.000000,155.000000,top
"C36","0.1uF","C_0201_0603Metric",191.550000,-98.420000,90.000000,top
"C37","0.1uF","C_0201_0603Metric",198.100000,-112.480000,0.000000,top
"C38","0.1uF","C_0201_0603Metric",239.760000,-98.510000,90.000000,top
"C39","0.1uF","C_0201_0603Metric",228.850000,-101.750000,90.000000,top
"C40","0.1uF","C_0201_0603Metric",225.090000,-108.950000,-90.000000,top
"C41","0.1uF","C_0201_0603Metric",208.883723,-106.156271,45.000000,top
"C42","0.1uF","C_0201_0603Metric",208.885000,-101.100000,180.000000,top
"C43","0.1uF","C_0201_0603Metric",243.780000,-98.850000,90.000000,top
"C44","0.1uF","C_0201_0603Metric",231.320000,-102.370000,0.000000,top
"C45","0.1uF","C_0201_0603Metric",220.950000,-106.420000,-135.000000,top
"C46","0.1uF","C_0201_0603Metric",217.046274,-108.866274,-45.000000,top
"C47","0.1uF","C_0201_0603Metric",203.290000,-107.745000,90.000000,top
"C48","0.1uF","C_0201_0603Metric",195.830000,-99.120000,-90.000000,top
"C49","0.1uF","C_0201_0603Metric",223.900000,-101.400000,135.000000,top
"C50","0.1uF","C_0201_0603Metric",230.820000,-107.310000,0.000000,top
"C51","0.1uF","C_0201_0603Metric",219.440000,-105.000000,0.000000,top
"C52","0.1uF","C_0201_0603Metric",212.380000,-108.830000,90.000000,top
"C53","0.1uF","C_0201_0603Metric",247.680000,-106.200000,-135.000000,top
"C54","0.1uF","C_0201_0603Metric",250.466274,-101.456274,135.000000,top
"C55","0.1uF","C_0201_0603Metric",243.022822,-104.180904,75.000000,top
"C56","0.1uF","C_0201_0603Metric",233.090000,-106.610000,-135.000000,top
"C57","0.1uF","C_0201_0603Metric",235.263952,-98.643952,135.000000,top
"C58","0.1uF","C_0201_0603Metric",250.960000,-109.040000,-90.000000,top
"C59","0.1uF","C_0201_0603Metric",244.610000,-105.960000,180.000000,top
