"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4,C5,C6,C9,C10","0.1u","~","Capacitor_SMD:C_0402_1005Metric","8",""
"C7","4.7u","~","Capacitor_SMD:C_0402_1005Metric","1",""
"C8,C11","6p","~","Capacitor_SMD:C_0402_1005Metric","2",""
"C12,C13","1u","~","Capacitor_SMD:C_0402_1005Metric","2",""
"CR1","PESD5V0C1BSFYL","PESD5V0C1BSFYL","srw_custom:PESD5V0C1BSFYL_NEX","1",""
"J1,J2,J3","Conn_01x01_Male","~","Connector_Pin:Pin_D1.3mm_L11.0mm","3",""
"J7","690-005-299-043","","srw_custom:EDAC_690-005-299-043","1",""
"R1","10k","~","Resistor_SMD:R_0402_1005Metric","1",""
"U1","STM32L431RCTx","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/DM00257211.pdf","Package_QFP:LQFP-64_10x10mm_P0.5mm","1",""
"U2","ECS-480-8-36-RWN-TR","","srw_custom:XTAL_ECS-480-8-36-RWN-TR","1",""
"U3","SN74LVC1T45DBV","http://www.ti.com/lit/ds/symlink/sn74lvc1t45.pdf","Package_TO_SOT_SMD:SOT-23-6","1",""
"U4","LP5907MFX-3.3","http://www.ti.com/lit/ds/symlink/lp5907.pdf","Package_TO_SOT_SMD:SOT-23-5","1",""
