Designator,Mid X,Mid Y,Layer,Rotation
C1,219.77,-50.76,top,0
C2,219.707499,-56.34,top,0
C3,240.75012,-49.76988,top,45
C4,248.778198,-50.848438,top,45
C5,247.658198,-49.768438,top,45
C6,236.07988,-69.16012,top,45
C7,244.21012,-49.97012,top,135
C8,236.34,-52.87,top,180
C9,249.67,-58.04,top,-90
C10,233.91,-57.7425,top,90
C11,247.98,-53.86,top,45
C12,234.26,-64.0925,top,90
C13,240.04012,-52.99012,top,-45
C14,232.33,-57.78,top,90
C15,244.1,-73.66,top,-90
C16,246.2725,-69.03,top,180
C17,246.27,-70.59,top,180
C18,250.94,-72.61,top,0
C19,250.94,-74.2,top,0
C25,252.3125,-69.38,top,0
C26,256.81,-65.4525,top,90
C27,257.425,-60.59,top,90
C28,259.2775,-57.7775,top,180
D1,258.24,-54.44,top,-90
D2,255.9675,-53.45,top,180
D3,262.51,-57.48,top,90
D4,252.88,-53.51,top,180
F1,251.01,-81.66,top,180
J1,200.045,-84.24,top,90
J2,258.93,-74.95,top,0
J3,212.13,-83.04,top,0
J4,226.31,-77.89,top,-90
R1,203.57,-55.3525,top,-90
R2,207.9,-51.37,top,90
R3,229.75,-70.3725,top,-90
R4,203.55,-70.8625,top,-90
R5,229.77,-56.5025,top,-90
R6,205.09,-55.3475,top,90
R7,206.0425,-69.95,top,180
R8,229.78,-59.98,top,90
R9,229.77,-73.8075,top,90
R10,223.62,-53.8225,top,90
R11,220.46,-53.8375,top,90
R12,222.06,-53.82,top,90
R13,218.85,-53.8375,top,90
R14,232.92,-72.23,top,45
R15,249.66,-61.4625,top,-90
R16,236.3375,-49.69,top,0
R17,234.974765,-68.045235,top,45
R18,205.92,-77.79,top,-90
R19,202.72,-77.77,top,-90
R20,204.3,-77.78,top,-90
R21,201.15,-77.77,top,-90
R22,199.55,-77.74,top,-90
R23,236.3375,-51.3,top,180
R24,207.96,-55.4025,top,-90
R25,262.61,-60.7125,top,90
R26,249.67,-65.5525,top,90
R27,251.22,-61.4225,top,-90
R28,252.77,-61.43,top,-90
R29,254.32,-61.41,top,-90
R30,255.91,-61.4675,top,-90
R31,204.51,-74.97,top,180
R32,204.48,-73.37,top,180
R33,264.22,-60.7,top,90
R34,253.07,-57.69,top,180
R35,253.0925,-56.12,top,0
R36,205.07,-51.7775,top,-90
R37,264.275,-58.5,top,0
R38,253.93,-54.8,top,0
R39,264.265,-57.45,top,0
R40,256.44,-54.77,top,0
U1,200.914,-50.038,top,0
U2,213.37,-53.355,top,-90
U3,227.076,-64.008,top,0
U4,200.914,-64.008,top,0
U5,227.076,-50.038,top,0
U6,205.57,-67.4,top,90
U7,246.4,-52.18,top,135
U8,242.61,-51.51,top,-45
U9,237.57,-73.79,top,-135
U10,242.062,-61.468,top,-90
U11,247.1,-73.58,top,0
U12,263.21,-67.87,top,90
U13,253.9875,-66.195,top,180
U14,259.16,-59.01,top,0
