Designator,Mid X,Mid Y,Layer,Rotation
C3,110.1975,-138.9,top,180
C4,120.5425,-140.77,top,0
C5,120.5425,-139.24,top,0
C6,119.58,-163.14,top,90
C7,117.1475,-138.31,top,0
C8,105.8475,-142.69,top,180
C9,120.05,-142.28,top,0
C10,106.47,-145.17,top,90
C11,121.71,-144.7525,top,-90
C12,106.51,-152.6575,top,90
C13,110.1775,-140.42,top,0
C14,104.93,-145.1575,top,90
C15,122.3175,-160.11,top,0
C16,118.212499,-156.005002,top,180
C17,119.87,-158.4725,top,-90
C18,122.2825,-154.217491,top,0
C20,137.109994,-141.2575,top,90
C21,133.2975,-146.48,top,180
C22,140.8175,-141.2,top,0
C23,140.822501,-145.679996,top,0
C24,129.8275,-148.76,top,180
C25,126.892501,-144.459998,top,0
C26,95.67,-157.7325,top,90
C27,89.88,-157.6975,top,90
C28,97.47,-165.4225,top,90
C29,95.97,-165.4425,top,90
D1,99.8725,-164.58,top,180
D3,104.0075,-164.52,top,180
F1,143.57,-161.130001,top,-90
J1,129.09,-159.13,top,180
J2,134.85,-154.16,top,90
J3,135.065818,-174.766982,top,180
J4,103.48,-161.92,top,90
J5,99.77,-161.95,top,-90
J6,134.31,-162.89,top,-90
J8,122.89,-162.88,top,90
L1,125.9,-147.4975,top,90
R1,108.3875,-135.07,top,180
R2,120.387499,-165.660001,top,180
R3,101.37,-153.8725,top,90
R4,80.969999,-153.3275,top,90
R5,87.682501,-138.799997,top,180
R10,133.3075,-148.09,top,180
R13,123.9525,-142.31,top,0
R14,108.1575,-155.54,top,0
R15,104.297499,-141.130003,top,0
R17,109.5675,-160.84,top,180
R18,131.84,-151.3725,top,90
R19,123.43,-150.1725,top,-90
R20,121.83,-150.1825,top,-90
R21,122.7625,-147.49,top,180
R22,123.25,-144.7425,top,-90
R23,130.45,-144.61,top,180
R25,104.88,-149.2875,top,90
R26,106.46,-149.2775,top,-90
R27,85.4,-157.7225,top,90
R28,104.46,-154.3575,top,90
R32,87.27,-155.21,top,180
R34,124.76,-139.3675,top,90
R35,102.93,-154.3975,top,90
R37,106.1,-164.72,top,-90
R39,101.94,-164.74,top,-90
R342,86.96,-157.7475,top,90
U1,123.230048,-135.719976,top,-90
U3,98.839924,-158.180928,top,90
U4,70.495,-157.91,top,90
U5,94.966954,-135.413294,top,-90
U6,136.285,-146.617695,top,90
U7,117.94,-140.1885,top,90
U8,113.67,-139.06,top,0
U9,115.075,-160.9725,top,-90
U10,114.06,-148.365,top,-90
U11,122.37,-157.13,top,90
U12,130.96,-137.99,top,180
U13,141.69,-144.945,top,180
U14,92.7925,-157.67,top,180
U15,81.6,-168.87,top,90
U16,129.21,-146.69,top,180
