Designator,Mid X,Mid Y,Layer,Rotation
C9,200.77,-58.04,top,-90
C10,200.76,-59.96,top,-90
C11,203.31,-74.48,top,180
C12,200.81,-61.42,top,180
C13,191.95,-64.02,top,180
C14,191.92,-73.37,top,180
C15,204.7,-63.99,top,0
C16,193.5,-62.47,top,90
C17,192.52,-62.48,top,90
C20,192.83,-59.92,top,90
C23,195.88,-57.21,top,180
C24,202.8,-57.21,top,0
C25,204.94,-57.18,top,180
CR2,205.0468,-61.95,top,180
J1,207.71,-69.84,top,0
J2,207.63,-62.55,top,0
J3,203.89,-52.3,top,-90
J4,207.81,-58.91,top,0
J5,207.8,-55.29,top,0
J7,207.63,-66.2,top,0
R6,205.41,-67.74,top,-90
U3,198.540001,-58.8075,top,-90
U4,198.17,-68.69,top,-90
U5,195.06,-59.44,top,0
U7,203.9125,-59.45,top,0
