Ref,Val,Package,PosX,PosY,Rot,Side
"C1","6p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",169.840000,-101.665000,270.000000,top
"C2","6p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",168.450000,-94.690000,90.000000,top
"C3","8p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",172.000000,-90.475000,90.000000,top
"C4","8p","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",173.590000,-90.485001,90.000000,top
"C6","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",170.266120,-91.069360,90.000000,top
"C7","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",192.147000,-95.699000,0.000000,top
"C8","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",175.190000,-90.495000,90.000000,top
"C9","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",177.435000,-107.340000,0.000000,top
"C10","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",182.153000,-108.268000,270.000000,top
"C11","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",174.320000,-108.125000,270.000000,top
"C12","0.1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",176.820000,-90.500000,90.000000,top
"C13","4.7u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",190.200000,-80.625000,90.000000,top
"C14","1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",192.660000,-88.085000,270.000000,top
"C15","0.01u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",187.303000,-92.489000,270.000000,top
"C16","1","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",185.715000,-92.470000,270.000000,top
"C17","1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",188.650000,-86.970000,270.000000,top
"C18","1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.653000,-114.692000,0.000000,top
"C19","1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",172.010000,-72.540000,180.000000,top
"C20","1u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.650001,-113.111000,0.000000,top
"C21","10u","C_0603_1608Metric_Pad1.05x0.95mm_HandSolder",181.246000,-128.598000,180.000000,top
"Q1","BSS138","SOT-23",175.873740,-81.095660,180.000000,top
"Q2","BSS138","SOT-23",175.918340,-86.764160,180.000000,top
"R1","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",181.560000,-91.600000,0.000000,top
"R2","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",184.040000,-92.515000,270.000000,top
"R3","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",170.065460,-94.474260,270.000000,top
"R4","0","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",188.541000,-95.707000,180.000000,top
"R5","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",179.682900,-89.902640,0.000000,top
"R6","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.456000,-87.486001,90.000000,top
"R7","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",166.677101,-102.338100,270.000000,top
"R8","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",188.590000,-82.250001,270.000000,top
"R9","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",179.707900,-88.222639,0.000000,top
"R10","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",189.575001,-89.500000,180.000000,top
"R11","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",168.226500,-102.349500,270.000000,top
"R12","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.821400,-104.800600,180.000000,top
"R13","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",179.697900,-86.592640,0.000000,top
"R14","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.858200,-108.033500,0.000000,top
"R15","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.834100,-106.400800,180.000000,top
"R16","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.893200,-109.743500,0.000000,top
"R17","DNI","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",167.878200,-111.433500,180.000000,top
"R18","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",169.344100,-87.489200,90.000000,top
"R19","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",175.935400,-83.731300,0.000000,top
"R20","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",171.568340,-86.914161,90.000000,top
"R21","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",173.208340,-86.904160,270.000000,top
"R22","0","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",195.488000,-96.476000,180.000000,top
"R23","0","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",195.489000,-98.073000,180.000000,top
"R24","0","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",195.493000,-102.833000,180.000000,top
"R25","0","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",195.491000,-99.651000,180.000000,top
"R26","0","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",195.495000,-101.228000,180.000000,top
"R27","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",177.751500,-112.319000,180.000000,top
"R28","100k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",177.762900,-110.718800,0.000000,top
"R29","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",137.510000,-91.640000,0.000000,top
"R30","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",137.010000,-96.865000,270.000000,top
"R31","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",137.510000,-93.240000,180.000000,top
"R32","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",190.083200,-121.780500,0.000000,top
"R33","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",138.003000,-88.396000,90.000000,top
"R34","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",134.810000,-92.415000,270.000000,top
"R35","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",138.610000,-96.840000,90.000000,top
"R36","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",193.486800,-121.767800,0.000000,top
"R37","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",196.558000,-118.383000,90.000000,top
"R38","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",194.555000,-118.378000,90.000000,top
"R39","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",168.485000,-84.740000,0.000000,top
"R40","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",137.385000,-102.640000,0.000000,top
"R41","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",137.735000,-83.640000,0.000000,top
"R42","1k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",135.610000,-100.940000,0.000000,top
"R43","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",175.710000,-72.640000,180.000000,top
"R44","10k","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",175.810000,-78.540000,180.000000,top
"U1","SN74HCT245PW","TSSOP-20_4.4x6.5mm_P0.65mm",189.777000,-100.082001,0.000000,top
"U2","STM32L431RCTx","LQFP-64_10x10mm_P0.5mm",178.940000,-99.644999,0.000000,top
"U3","LP5907MFX-3.3","SOT-23-5",191.360000,-84.260000,90.000000,top
"U4","ECS-480-8-36-RWN-TR","XTAL_ECS-480-8-36-RWN-TR",169.140000,-98.180000,90.000000,top
"U6","ECS-.327-9-1210-TR","XTAL_ECS-.327-9-1210-TR",172.740000,-93.110000,0.000000,top
"U8","TXB0104D","SOIC-14_3.9x8.7mm_P1.27mm",170.010000,-78.040000,0.000000,top
