Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",219.750000,-50.440000,0.000000,top
"C2","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",219.707499,-56.340000,0.000000,top
"C3","6p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",240.750120,-49.769880,45.000000,top
"C4","8p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",248.778198,-50.848438,45.000000,top
"C5","8p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",247.658198,-49.768438,45.000000,top
"C6","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",236.079880,-69.160120,45.000000,top
"C7","6p","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",244.210120,-49.970120,135.000000,top
"C8","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",236.340000,-52.870000,180.000000,top
"C9","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",249.670000,-58.040000,-90.000000,top
"C10","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",233.910000,-57.742500,90.000000,top
"C11","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",247.980000,-53.860000,45.000000,top
"C12","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",234.260000,-64.092500,90.000000,top
"C13","0.1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",240.040120,-52.990120,-45.000000,top
"C14","4.7u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",232.330000,-57.780000,90.000000,top
"C15","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",244.100000,-73.660000,-90.000000,top
"C16","0.01u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",246.272500,-69.030000,180.000000,top
"C17","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",246.270000,-70.590000,180.000000,top
"C18","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",250.940000,-72.610000,0.000000,top
"C19","10u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",250.940000,-74.200000,0.000000,top
"C25","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",252.312500,-69.380000,0.000000,top
"C26","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",256.810000,-65.452500,90.000000,top
"C27","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",257.425000,-60.590000,90.000000,top
"C28","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",259.277500,-57.777500,180.000000,top
"F1","Fuse-2410FA","2410FA",251.010000,-81.660000,180.000000,top
"J1","Conn_01x08_Male","PinHeader_2x04_P2.54mm_Vertical",197.400000,-84.100000,90.000000,top
