Designator,Mid X,Mid Y,Layer,Rotation
C1,100.4025,-140.16,top,180
C2,69.839992,-153.667501,top,90
C3,110.1975,-138.9,top,180
C6,116.5225,-164.99,top,0
C7,117.1475,-138.31,top,0
C8,105.8475,-142.69,top,180
C9,120.05,-142.28,top,0
C10,106.47,-145.17,top,90
C11,121.71,-144.7525,top,-90
C12,106.49,-152.9625,top,90
C13,110.1775,-140.42,top,0
C14,104.84,-145.6075,top,90
C15,122.6925,-158.9,top,0
C16,117.8225,-155.89,top,180
C17,117.8225,-157.43,top,180
C18,122.7125,-153.16,top,0
C19,91.7025,-138.73,top,0
C20,133.6325,-144.09,top,180
C21,133.46,-146.36,top,180
C22,140.8175,-141.2,top,0
C23,140.822501,-145.679996,top,0
C24,125.520001,-157.027497,top,-90
C25,128.019999,-158.730001,top,180
C26,100.41,-138.55,top,180
C27,120.42,-139.3075,top,90
C28,95.73,-157.7925,top,90
C29,89.93,-157.6425,top,90
C30,105.1475,-164.96,top,0
C31,99.987499,-164.290004,top,0
D1,134.1,-161.5275,top,90
D3,132.53,-161.5625,top,90
F1,143.57,-161.130001,top,-90
J1,129.915,-153.13,top,180
J2,134.85,-154.16,top,90
J3,135.15,-174.84,top,180
J4,105.6,-161.62,top,-90
J5,128.25,-161.88,top,-90
J6,96.69,-161.63,top,90
J7,132.41,-165.57,top,-90
J8,116.93,-161.54,top,90
L1,131.300001,-157.237503,top,-90
R1,100.4125,-141.72,top,0
R2,116.7725,-158.94,top,180
R3,96.7,-141.27,top,-90
R4,80.24,-154.45,top,90
R5,87.3425,-138.71,top,180
R6,103.9975,-151.97,top,0
R7,103.9475,-150.43,top,0
R8,117.94,-140.73,top,0
R9,123.4775,-142.270001,top,0
R10,133.4625,-147.93,top,180
R11,86.6,-157.7175,top,90
R12,88.230001,-157.6725,top,90
R13,89.1625,-155.04,top,0
R14,103.4875,-155.07,top,0
R15,104.297499,-141.130003,top,0
R16,106.789997,-140.177499,top,-90
R17,106.84,-157.7,top,-90
R18,103.5075,-153.5,top,0
R19,123.43,-150.1725,top,-90
R20,121.83,-150.1825,top,-90
R21,122.7625,-147.49,top,180
R22,123.25,-144.7425,top,-90
R23,130.9,-161.1525,top,90
R24,85.04,-157.7375,top,90
R25,106.43,-148.5125,top,90
R31,83.47,-157.7525,top,90
R34,132.549999,-150.467499,top,-90
R35,108.540001,-155.772501,top,-90
R37,135.89,-163.71,top,0
R39,135.93,-162.67,top,0
U1,111.15,-133.59,top,0
U2,81.83,-159.8,top,180
U3,81.99,-133.52,top,0
U4,96.5,-133.53,top,0
U5,121.97,-138.25,top,0
U6,136.285,-146.617695,top,90
U8,113.67,-139.06,top,0
U9,111.23,-161.57,top,-90
U10,114.06,-148.365,top,-90
U11,122.74,-156.0275,top,90
U12,130.96,-137.99,top,180
U13,141.69,-144.945,top,180
U14,92.7925,-157.67,top,180
U15,81.6,-168.87,top,90
U16,128.03,-156.57,top,0
