Ref,Mid X,Mid Y,Layer,Rotation
BT1,111.294999,-150.223223,top,60
C1,104.3175,-138.36,top,180
C2,73.05,-156.8225,top,90
C3,95.6675,-163.28,top,180
C4,126.38,-154.5625,top,-90
C5,128.757501,-157.439998,top,180
C6,105.424999,-149.461396,top,90
C7,79.65,-135.2325,top,-90
C8,91.8275,-134.77,top,0
C9,70.928717,-148.858717,top,135
C10,73,-142.1,top,45
C11,72.288717,-141.381283,top,45
C12,131.3225,-167.95,top,180
C15,83.9775,-137.09,top,180
C18,125.08,-164.56,top,90
C19,90.33,-172.8025,top,90
C20,130.14,-145.15,top,90
C21,124.62,-144.8875,top,-90
C22,131.98,-149.69,top,-90
C23,127.47,-150.52,top,-90
C24,123.15,-154.9975,top,90
C25,121.81125,-165.81125,top,-90
C26,90.34,-145.8925,top,90
C27,124.7,-155.0275,top,90
C28,133.27,-164.3125,top,90
C29,115.90125,-164.86875,top,90
C30,123.34,-152.56,top,0
C31,124.4875,-162,top,0
C32,128.9075,-167.04,top,180
C33,75.15,-135.84,top,90
C34,76.92,-154.51,top,135
C35,81.73,-138.32,top,-45
C37,70.188717,-149.558717,top,135
F1,143.96,-159.88,top,-90
IC1,128.65,-154.54,top,180
J1,119.615,-161.205,top,180
J2,134.48,-152.98,top,90
J3,134.93,-174.83,top,180
J4,132.96,-160.26,top,0
J5,133.22,-145.79,top,0
J6,109.74,-160.22,top,0
J7,109.77,-155.09,top,0
L1,124.7875,-158.11,top,180
LED1,95.709999,-161.490801,top,90
R1,101.4025,-138.32,top,0
R2,83.97,-135.34,top,0
R3,90.33,-143.5425,top,-90
R4,90.33,-170.3325,top,-90
R5,73.05,-159.0975,top,-90
R6,132.4925,-166.54,top,0
R7,134.82,-164.2875,top,90
R8,129.21,-160.19,top,180
R9,124.4875,-160.46,top,0
R10,123.54,-147.98,top,0
R11,128.4675,-161.75,top,180
R12,89.2225,-135.32,top,180
R13,70.292496,-143.052496,top,-45
R14,87.054765,-143.114765,top,-45
R15,83.6,-139.44,top,45
R16,74.047504,-140.207504,top,-45
R17,88.34,-149.6,top,-90
R18,121.98,-162.23,top,-90
R19,127.14,-167.4275,top,90
R20,93.339376,-160.249376,top,135
R21,94.04,-159.54,top,135
R22,94.740624,-158.840624,top,135
R23,89.18,-140.41,top,180
R24,123.54,-164.54,top,90
R34,125.0275,-149.7,top,180
R35,121.6375,-149.7,top,180
U1,94.7675,-134.054999,top,0
U2,94.57,-164.19,top,-90
U3,68.62,-164.45,top,90
U4,94.595002,-137.2075,top,-90
U5,86.05,-135.26,top,0
U6,126.052306,-145.525,top,0
U7,131.36,-164.58,top,-90
U8,79.25,-146.29,top,-45
U9,100.694999,-153.561396,top,0
U12,129.52,-138.14,top,180
U13,128.335,-150.690001,top,90
U14,118.80125,-164.88125,top,180
U16,121.9668,-159.7868,top,90
U17,128.045,-164.54,top,180
Y1,77.41,-135.5175,top,0
