Ref,PosX,PosY,Side,Rot
BT1,111.294999,-150.223223,top,60
C1,104.3175,-138.36,top,180
C2,72.92,-152.5475,top,90
C3,95.6675,-163.28,top,180
C4,126.38,-154.5625,top,-90
C5,128.757501,-157.439998,top,180
C6,105.424999,-149.461396,top,90
C7,69.75,-146.65,top,45
C8,95.28,-145.2475,top,-90
C9,77.45,-152.36,top,-45
C10,87.95,-144.5425,top,90
C11,89.32,-143.7375,top,90
C12,75.051283,-144.781283,top,135
C13,80.152566,-154.632566,top,-45
C14,86.851283,-149.418717,top,45
C15,86.68,-155.88,top,-90
C16,73.801283,-148.361283,top,135
C17,74.481283,-147.651283,top,135
C18,125.08,-164.56,top,90
C19,90.33,-172.8025,top,90
C20,130.14,-145.15,top,90
C21,124.62,-144.8875,top,-90
C22,131.98,-149.69,top,-90
C23,127.47,-150.52,top,-90
C24,123.15,-154.9975,top,90
C25,121.81125,-165.81125,top,-90
C26,90.41,-145.2125,top,90
C27,124.7,-155.0275,top,90
C28,133.27,-164.3125,top,90
C29,115.90125,-164.86875,top,90
C30,123.34,-152.56,top,0
C31,124.4875,-162,top,0
C32,128.9075,-167.04,top,180
C33,72.95,-149.8,top,-135
E1,78.675,-134.67,top,0
F1,143.96,-159.88,top,-90
IC1,128.65,-154.54,top,180
J1,119.615,-161.205,top,180
J2,134.48,-152.98,top,90
J3,134.93,-174.83,top,180
J4,132.96,-160.26,top,0
J5,133.22,-145.79,top,0
J7,109.55,-155.02,top,0
L1,124.7875,-158.11,top,180
L2,77.352012,-156.012012,top,135
L3,73.15,-141.565,top,90
L4,74.62,-142.01,top,180
L5,74.625,-141.01,top,180
L6,76.1,-153.43,top,45
LED1,95.709999,-161.490801,top,90
R1,101.4025,-138.32,top,0
R2,91.4475,-151.97,top,180
R3,90.4,-142.8625,top,90
R4,90.33,-170.3325,top,-90
R5,73.05,-159.0975,top,-90
R6,132.3475,-166.79,top,0
R7,134.82,-164.2875,top,90
R8,129.21,-160.19,top,180
R9,124.4875,-160.46,top,0
R10,123.54,-147.98,top,0
R11,128.4675,-161.75,top,180
R12,91.4375,-152.98,top,180
R13,92.05,-154.6675,top,-90
R14,72.12,-141.7275,top,-90
R15,89.72,-150.2425,top,-90
R16,90.43,-147.4825,top,90
R18,74.857504,-145.997504,top,135
R20,84.440624,-156.550624,top,135
R21,84.7,-153.179999,top,90
R22,85.66,-154.100001,top,90
R23,90.82,-154.6275,top,-90
R24,123.54,-164.54,top,90
R34,125.0275,-149.7,top,180
R35,121.6375,-149.7,top,180
U1,94.7675,-134.054999,top,0
U2,94.57,-164.19,top,-90
U3,68.62,-164.45,top,90
U4,94.595002,-137.2075,top,-90
U5,88.2,-153.44,top,0
U6,126.052306,-145.525,top,0
U7,131.36,-164.58,top,-90
U8,73.124,-144.09,top,0
U9,100.694999,-153.561396,top,0
U10,80.929899,-148.719949,top,-135
U12,129.52,-138.14,top,180
U13,128.335,-150.690001,top,90
U14,118.80125,-164.88125,top,180
U16,121.9668,-159.7868,top,90
U17,128.045,-164.54,top,180
Y1,71.118579,-148.49934,top,135
