Designator,Mid X,Mid Y,Layer,Rotation
C2,130.087499,-165.04,top,0
C3,130.094998,-166.59,top,0
C6,104.91,-145.1875,top,-90
C7,78.89,-161.5975,top,-90
C8,79.31,-158.3475,top,-90
C9,89.858717,-162.461283,top,-135
C10,83.651283,-162.241283,top,135
C11,83.978717,-161.098717,top,135
C14,135.2375,-165.6,top,0
C15,135.02,-171.2825,top,90
C16,137.05,-171.295,top,90
C17,136.05,-171.275,top,90
C18,138.17,-166.88,top,0
C19,138.737499,-164.06,top,0
C20,138.74,-165.63,top,0
C21,128.27,-171.96,top,90
C22,131.8425,-173.83,top,180
C33,81.1875,-164.41,top,180
C34,95.700928,-156.574734,top,-135
C35,79.958717,-151.381283,top,45
C37,90.558717,-163.201283,top,-135
CR2,128.92,-154.1942,top,90
F1,140.12,-165.0449,top,180
J1,98.425,-169.545,top,180
J2,136.9,-155.78,top,90
J5,109.37,-172.75,top,-90
J8,114.3,-169.545,top,180
J9,113.89,-146.05,top,0
J10,109.74,-146.05,top,0
J12,120.89,-150.76,top,-90
J13,72.84,-161.1,top,90
J14,100.42,-138.31,top,0
L1,139.212501,-168.76,top,0
R1,133.56,-164.95,top,-90
R2,132.44,-164.96,top,90
U1,94.869997,-163.939997,top,-90
U2,94.719997,-134.069997,top,-90
U3,116.350003,-147.810003,top,90
U4,116.390003,-177.650003,top,90
U5,131.149517,-171.58,top,180
U7,134.784999,-167.999999,top,180
U8,87.480928,-154.244734,top,45
U9,100.49,-147.24,top,0
Y1,80.83,-162.15,top,90
