Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","BatteryHolder_Keystone_500",111.294999,-150.223223,60.000000,top
"C1","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",104.317500,-138.360000,180.000000,top
"C2","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",73.050000,-156.822500,90.000000,top
"C3","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",95.667500,-163.280000,180.000000,top
"C4","10u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",126.380000,-154.562500,-90.000000,top
"C5","10u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",128.757501,-157.439998,180.000000,top
"C6","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",105.424999,-149.461396,90.000000,top
"C7","6p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",79.650000,-135.232500,-90.000000,top
"C8","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",91.827500,-134.770000,0.000000,top
"C9","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",70.928717,-148.858717,135.000000,top
"C10","0.01u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",73.000000,-142.100000,45.000000,top
"C11","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",72.288717,-141.381283,45.000000,top
"C12","10u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",131.322500,-167.950000,180.000000,top
"C15","0.01u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",83.977500,-137.090000,180.000000,top
"C18","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",125.080000,-164.560000,90.000000,top
"C19","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",90.330000,-172.802500,90.000000,top
"C20","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",130.140000,-145.150000,90.000000,top
"C21","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",124.620000,-144.887500,-90.000000,top
"C22","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",131.980000,-149.690000,-90.000000,top
"C23","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",127.470000,-150.520000,-90.000000,top
"C24","22u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",123.150000,-154.997500,90.000000,top
"C25","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",121.811250,-165.811250,-90.000000,top
"C26","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",90.340000,-145.892500,90.000000,top
"C27","22u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",124.700000,-155.027500,90.000000,top
"C28","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",133.270000,-164.312500,90.000000,top
"C29","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",115.901250,-164.868750,90.000000,top
"C30","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",123.340000,-152.560000,0.000000,top
"C31","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",124.487500,-162.000000,0.000000,top
"C32","1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",128.907500,-167.040000,180.000000,top
"C33","6p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",75.150000,-135.840000,90.000000,top
"C34","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",76.920000,-154.510000,135.000000,top
"C35","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",81.730000,-138.320000,-45.000000,top
"C37","4.7u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",70.188717,-149.558717,135.000000,top
"F1","Fuse-2410FA","2410FA",143.960000,-159.880000,-90.000000,top
"IC1","AP63205","AP63205",128.650000,-154.540000,180.000000,top
"J1","Conn_01x08_Male","PinHeader_2x04_P2.54mm_Vertical",119.615000,-161.205000,180.000000,top
"J2","Barrel_Jack_Switch","BarrelJack_Wuerth_6941xx301002",134.480000,-152.980000,90.000000,top
"J3","terminal_custom_12pin","1984714",134.930000,-174.830000,180.000000,top
"J4","Conn_01x01_Pin","Pin_D1.3mm_L11.0mm_LooseFit",132.960000,-160.260000,0.000000,top
"J5","Conn_01x01_Pin","Pin_D1.3mm_L11.0mm_LooseFit",133.220000,-145.790000,0.000000,top
"J6","Conn_02x02_Top_Bottom","PinHeader_2x02_P2.00mm_Vertical",109.740000,-160.220000,0.000000,top
"J7","Conn_02x02_Top_Bottom","PinHeader_2x02_P2.00mm_Vertical",109.770000,-155.090000,0.000000,top
"L1","L","L_1008_2520Metric_Pad1.43x2.20mm_HandSolder",124.787500,-158.110000,180.000000,top
"LED1","150044M155260","150044M155260_WRE",95.709999,-161.490801,90.000000,top
"R1","1M","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",101.402500,-138.320000,0.000000,top
"R2","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",83.970000,-135.340000,0.000000,top
"R3","1M","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",90.330000,-143.542500,-90.000000,top
"R4","1M","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",90.330000,-170.332500,-90.000000,top
"R5","1M","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",73.050000,-159.097500,-90.000000,top
"R6","60k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",132.492500,-166.540000,0.000000,top
"R7","40k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",134.820000,-164.287500,90.000000,top
"R8","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",129.210000,-160.190000,180.000000,top
"R9","0","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",124.487500,-160.460000,0.000000,top
"R10","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",123.540000,-147.980000,0.000000,top
"R11","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",128.467500,-161.750000,180.000000,top
"R12","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",89.222500,-135.320000,180.000000,top
"R13","1M","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",70.292496,-143.052496,-45.000000,top
"R14","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",87.054765,-143.114765,-45.000000,top
"R15","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",83.600000,-139.440000,45.000000,top
"R16","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",74.047504,-140.207504,-45.000000,top
"R17","10k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",88.340000,-149.600000,-90.000000,top
"R18","DNI","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",121.980000,-162.230000,-90.000000,top
"R19","DNI","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",127.140000,-167.427500,90.000000,top
"R20","100","R_0402_1005Metric",93.339376,-160.249376,135.000000,top
"R21","100","R_0402_1005Metric",94.040000,-159.540000,135.000000,top
"R22","100","R_0402_1005Metric",94.740624,-158.840624,135.000000,top
"R23","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",89.180000,-140.410000,180.000000,top
"R24","0","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",123.540000,-164.540000,90.000000,top
"R34","10k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",125.027500,-149.700000,180.000000,top
"R35","28k","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",121.637500,-149.700000,180.000000,top
"U1","rf_433MHz_module","433MHz_receiver",94.767500,-134.054999,0.000000,top
"U2","rf_433MHz_module","433MHz_receiver",94.570000,-164.190000,-90.000000,top
"U3","rf_433MHz_module","433MHz_receiver",68.620000,-164.450000,90.000000,top
"U4","rf_433MHz_module","433MHz_receiver",94.595002,-137.207500,-90.000000,top
"U5","RV-8803","rv-8803-c7",86.050000,-135.260000,0.000000,top
"U6","XR21B1411","XR21B1411",126.052306,-145.525000,0.000000,top
"U7","~","MIC826SYMT",131.360000,-164.580000,-90.000000,top
"U8","STM32L431RCTx","LQFP-64_10x10mm_P0.5mm",79.250000,-146.290000,-45.000000,top
