Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",93.137500,-101.500000,0.000000,top
"C2","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",106.537500,-101.800000,0.000000,top
"C3","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",120.037500,-101.800000,0.000000,top
"C4","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",133.400000,-101.900000,0.000000,top
"C5","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",146.737500,-101.800000,0.000000,top
"C6","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",160.037500,-101.900000,0.000000,top
"C7","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",173.500000,-102.000000,0.000000,top
"C8","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",186.900000,-102.000000,0.000000,top
"C9","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",200.300000,-101.800000,0.000000,top
"C10","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",213.737500,-102.200000,0.000000,top
"C11","0.1u","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",226.300000,-103.900000,0.000000,top
"D1","WS2813","LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm",87.734997,-100.134995,180.000000,top
"D2","WS2813","LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm",101.084997,-100.134997,180.000000,top
"D3","WS2813","LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm",114.584997,-100.134997,180.000000,top
"D4","WS2813","LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm",127.984997,-100.134997,180.000000,top
"D5","WS2813","LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm",141.384997,-100.034997,180.000000,top
"D6","WS2813","LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm",154.684997,-100.134997,180.000000,top
"D7","WS2813","LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm",168.102497,-100.134997,180.000000,top
"D8","WS2813","LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm",181.475000,-100.134999,180.000000,top
"D9","WS2813","LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm",194.884997,-100.134997,180.000000,top
"D10","WS2813","LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm",208.284997,-100.334997,180.000000,top
"D11","WS2813","LED_WS2812_PLCC6_5.0x5.0mm_P1.6mm",221.800000,-100.300000,180.000000,top
"J1","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Horizontal",79.300000,-102.640000,180.000000,top
"J2","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Horizontal",230.000000,-97.560000,0.000000,top
"R1","200","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",93.100000,-99.500000,0.000000,top
"R2","200","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",106.600000,-99.700000,0.000000,top
"R3","200","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",120.000000,-99.800000,0.000000,top
"R4","200","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",133.400000,-99.900000,0.000000,top
"R5","200","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",146.700000,-99.800000,0.000000,top
"R6","200","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",160.000000,-99.900000,0.000000,top
"R7","200","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",173.500000,-100.000000,0.000000,top
"R8","200","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",186.900000,-100.000000,0.000000,top
"R9","200","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",200.300000,-99.700000,0.000000,top
"R10","200","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",213.700000,-100.200000,0.000000,top
"R11","200","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",226.200000,-101.387500,-90.000000,top
