Designator,Mid X,Mid Y,Layer,Rotation
C1,34.4,-73.9725,top,90
C2,55.57,-81.1175,top,-90
C3,54.59,-81.1275,top,-90
C4,53.61,-81.135,top,-90
C5,54.94,-74.3025,top,90
C6,53.92,-74.3,top,90
C7,55.94,-74.2975,top,90
C8,34.34,-80.0825,top,-90
J1,39.75,-65.62,top,0
J2,28.48,-85.54,top,90
J3,28.96,-67.61,top,90
J5,26.57,-94.11,top,180
J6,26.65,-62.2,top,180
P1,58.8975,-77.395,top,90
Q2,30.3625,-93.21,top,180
Q3,30.4525,-61.31,top,180
R1,37.18,-89.1,top,-90
R2,29.49,-59.05,top,0
R3,29.39,-90.96,top,0
R5,29.37,-95.44,top,0
R7,29.46,-63.53,top,0
U1,28.49,-76.95,top,-90
