Designator,MidX,MidY,Layer,Rotation
C1,170.83,-67.39,top,0
C2,159.7,-145.65,top,180
C3,155.355,-67.21,top,0
C4,128.5475,-121.067772,top,120
C5,209.5875,-104.957772,top,300
C6,186.105,-67.54,top,0
C7,135.81,-134.22,top,120
C8,121.0075,-108.197772,top,120
C9,202.48,-92.5,top,300
C10,144.355,-145.77,top,180
C11,194.18,-78.42,top,300
C12,174.945,-145.69,top,180
C13,196.17,-131.01,top,240
C14,141.6625,-68.867772,top,60
C15,188.68,-144.23,top,240
C16,134.1825,-82.207772,top,60
C17,203.91,-117.71,top,240
C18,126.5275,-95.642228,top,60
D1,122.107198,-99.346826,top,240
D2,129.807199,-86.116826,top,240
D3,137.417198,-72.766826,top,240
D4,149.946174,-65.621819,top,180
D5,165.253691,-65.675216,top,180
D6,180.62013,-65.590669,top,180
D7,193.088049,-72.88178,top,120
D8,200.695565,-86.165177,top,120
D9,208.452005,-99.430629,top,120
D10,208.375274,-113.853544,top,60
D11,200.675273,-127.083544,top,60
D12,193.065273,-140.433544,top,60
D13,180.524753,-147.571394,top,0
D14,165.217236,-147.517998,top,0
D15,149.850797,-147.602545,top,0
D16,137.398552,-140.324637,top,300
D17,129.791036,-127.04124,top,300
D18,122.041129,-113.772652,top,300
